# go_id	kind	status	crystal_refs	notes
lib/proto/accessibility.go::const::AccessibilityAXValueTypeString	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeToken	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeTokenList	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeTristate	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeValueUndefined	const	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityAXNode	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityAXProperty	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityAXRelatedNode	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityAXValue	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityAXValueSource	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityDisable	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityEnable	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetAXNodeAndAncestors	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetAXNodeAndAncestorsResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetChildAXNodes	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetChildAXNodesResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetFullAXTree	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetFullAXTreeResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetPartialAXTree	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetPartialAXTreeResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetRootAXNode	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityGetRootAXNodeResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityLoadComplete	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityNodesUpdated	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityQueryAXTree	struct	missing		heuristic-filter
lib/proto/accessibility.go::struct::AccessibilityQueryAXTreeResult	struct	missing		heuristic-filter
lib/proto/accessibility.go::type::AccessibilityAXNodeID	type	missing		heuristic-filter
lib/proto/accessibility.go::type::AccessibilityAXPropertyName	type	missing		heuristic-filter
lib/proto/accessibility.go::type::AccessibilityAXValueNativeSourceType	type	missing		heuristic-filter
lib/proto/accessibility.go::type::AccessibilityAXValueSourceType	type	missing		heuristic-filter
lib/proto/accessibility.go::type::AccessibilityAXValueType	type	missing		heuristic-filter
lib/proto/animation.go::const::AnimationAnimationTypeCSSAnimation	const	missing		heuristic-filter
lib/proto/animation.go::const::AnimationAnimationTypeCSSTransition	const	missing		heuristic-filter
lib/proto/animation.go::const::AnimationAnimationTypeWebAnimation	const	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimation	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimationCanceled	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimationCreated	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimationEffect	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimationStarted	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationAnimationUpdated	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationDisable	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationEnable	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationGetCurrentTime	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationGetCurrentTimeResult	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationGetPlaybackRate	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationGetPlaybackRateResult	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationKeyframeStyle	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationKeyframesRule	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationReleaseAnimations	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationResolveAnimation	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationResolveAnimationResult	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationSeekAnimations	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationSetPaused	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationSetPlaybackRate	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationSetTiming	struct	missing		heuristic-filter
lib/proto/animation.go::struct::AnimationViewOrScrollTimeline	struct	missing		heuristic-filter
lib/proto/animation.go::type::AnimationAnimationType	type	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInsecureContext	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInvalidHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInvalidInfoHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInvalidRegisterOsSourceHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInvalidRegisterOsTriggerHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeInvalidRegisterTriggerHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNavigationRegistrationWithoutTransientUserActivation	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNoRegisterOsSourceHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNoRegisterOsTriggerHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNoRegisterSourceHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNoRegisterTriggerHeader	const	missing		heuristic-filter
